wsid,mdct,date,yr,mo,da,hr
178,06/11/2007 0:00,06/11/2007,2007,11,6,0
178,06/11/2007 1:00,06/11/2007,2007,11,6,1
178,06/11/2007 2:00,06/11/2007,2007,11,6,2
178,06/11/2007 3:00,06/11/2007,2007,11,6,3
178,06/11/2007 4:00,06/11/2007,2007,11,6,4
178,06/11/2007 5:00,06/11/2007,2007,11,6,5
178,06/11/2007 6:00,06/11/2007,2007,11,6,6
178,06/11/2007 7:00,06/11/2007,2007,11,6,7
178,06/11/2007 8:00,06/11/2007,2007,11,6,8
178,06/11/2007 9:00,06/11/2007,2007,11,6,9
178,06/11/2007 10:00,06/11/2007,2007,11,6,10
178,06/11/2007 11:00,06/11/2007,2007,11,6,11
178,06/11/2007 12:00,06/11/2007,2007,11,6,12
178,06/11/2007 13:00,06/11/2007,2007,11,6,13
178,06/11/2007 14:00,06/11/2007,2007,11,6,14
178,06/11/2007 15:00,06/11/2007,2007,11,6,15
178,06/11/2007 16:00,06/11/2007,2007,11,6,16
178,06/11/2007 17:00,06/11/2007,2007,11,6,17
178,06/11/2007 18:00,06/11/2007,2007,11,6,18
178,06/11/2007 19:00,06/11/2007,2007,11,6,19
178,06/11/2007 20:00,06/11/2007,2007,11,6,20
178,06/11/2007 21:00,06/11/2007,2007,11,6,21
178,06/11/2007 22:00,06/11/2007,2007,11,6,22
178,06/11/2007 23:00,06/11/2007,2007,11,6,23
178,07/11/2007 0:00,07/11/2007,2007,11,7,0
178,07/11/2007 1:00,07/11/2007,2007,11,7,1
178,07/11/2007 2:00,07/11/2007,2007,11,7,2
178,07/11/2007 3:00,07/11/2007,2007,11,7,3
178,07/11/2007 4:00,07/11/2007,2007,11,7,4
178,07/11/2007 5:00,07/11/2007,2007,11,7,5
178,07/11/2007 6:00,07/11/2007,2007,11,7,6
178,07/11/2007 7:00,07/11/2007,2007,11,7,7
178,07/11/2007 8:00,07/11/2007,2007,11,7,8
178,07/11/2007 9:00,07/11/2007,2007,11,7,9
178,07/11/2007 10:00,07/11/2007,2007,11,7,10
178,07/11/2007 11:00,07/11/2007,2007,11,7,11
178,07/11/2007 12:00,07/11/2007,2007,11,7,12
178,07/11/2007 13:00,07/11/2007,2007,11,7,13
178,07/11/2007 14:00,07/11/2007,2007,11,7,14
178,07/11/2007 15:00,07/11/2007,2007,11,7,15
178,07/11/2007 16:00,07/11/2007,2007,11,7,16
178,07/11/2007 17:00,07/11/2007,2007,11,7,17
178,07/11/2007 18:00,07/11/2007,2007,11,7,18
178,07/11/2007 19:00,07/11/2007,2007,11,7,19
178,07/11/2007 20:00,07/11/2007,2007,11,7,20
178,07/11/2007 21:00,07/11/2007,2007,11,7,21
178,07/11/2007 22:00,07/11/2007,2007,11,7,22
178,07/11/2007 23:00,07/11/2007,2007,11,7,23
178,08/11/2007 0:00,08/11/2007,2007,11,8,0
178,08/11/2007 1:00,08/11/2007,2007,11,8,1
178,08/11/2007 2:00,08/11/2007,2007,11,8,2
178,08/11/2007 3:00,08/11/2007,2007,11,8,3
178,08/11/2007 4:00,08/11/2007,2007,11,8,4
178,08/11/2007 5:00,08/11/2007,2007,11,8,5
178,08/11/2007 6:00,08/11/2007,2007,11,8,6
178,08/11/2007 7:00,08/11/2007,2007,11,8,7
178,08/11/2007 8:00,08/11/2007,2007,11,8,8
178,08/11/2007 9:00,08/11/2007,2007,11,8,9
178,08/11/2007 10:00,08/11/2007,2007,11,8,10
178,08/11/2007 11:00,08/11/2007,2007,11,8,11
178,08/11/2007 12:00,08/11/2007,2007,11,8,12
178,08/11/2007 13:00,08/11/2007,2007,11,8,13
178,08/11/2007 14:00,08/11/2007,2007,11,8,14
178,08/11/2007 15:00,08/11/2007,2007,11,8,15
178,08/11/2007 16:00,08/11/2007,2007,11,8,16
178,08/11/2007 17:00,08/11/2007,2007,11,8,17
178,08/11/2007 18:00,08/11/2007,2007,11,8,18
178,08/11/2007 19:00,08/11/2007,2007,11,8,19
178,08/11/2007 20:00,08/11/2007,2007,11,8,20
178,08/11/2007 21:00,08/11/2007,2007,11,8,21
178,08/11/2007 22:00,08/11/2007,2007,11,8,22
178,08/11/2007 23:00,08/11/2007,2007,11,8,23
178,09/11/2007 0:00,09/11/2007,2007,11,9,0
178,09/11/2007 1:00,09/11/2007,2007,11,9,1
178,09/11/2007 2:00,09/11/2007,2007,11,9,2
178,09/11/2007 3:00,09/11/2007,2007,11,9,3
178,09/11/2007 4:00,09/11/2007,2007,11,9,4
178,09/11/2007 5:00,09/11/2007,2007,11,9,5
178,09/11/2007 6:00,09/11/2007,2007,11,9,6
178,09/11/2007 7:00,09/11/2007,2007,11,9,7
178,09/11/2007 8:00,09/11/2007,2007,11,9,8
178,09/11/2007 9:00,09/11/2007,2007,11,9,9
178,09/11/2007 10:00,09/11/2007,2007,11,9,10
178,09/11/2007 11:00,09/11/2007,2007,11,9,11
178,09/11/2007 12:00,09/11/2007,2007,11,9,12
178,09/11/2007 13:00,09/11/2007,2007,11,9,13
178,09/11/2007 14:00,09/11/2007,2007,11,9,14
178,09/11/2007 15:00,09/11/2007,2007,11,9,15
178,09/11/2007 16:00,09/11/2007,2007,11,9,16
178,09/11/2007 17:00,09/11/2007,2007,11,9,17
178,09/11/2007 18:00,09/11/2007,2007,11,9,18
178,09/11/2007 19:00,09/11/2007,2007,11,9,19
178,09/11/2007 20:00,09/11/2007,2007,11,9,20
178,09/11/2007 21:00,09/11/2007,2007,11,9,21
178,09/11/2007 22:00,09/11/2007,2007,11,9,22
178,09/11/2007 23:00,09/11/2007,2007,11,9,23
178,10/11/2007 0:00,10/11/2007,2007,11,10,0
178,10/11/2007 1:00,10/11/2007,2007,11,10,1
178,10/11/2007 2:00,10/11/2007,2007,11,10,2
178,10/11/2007 3:00,10/11/2007,2007,11,10,3
303,31/10/2006 0:00,31/10/2006,2006,10,31,0
303,31/10/2006 1:00,31/10/2006,2006,10,31,1
303,31/10/2006 2:00,31/10/2006,2006,10,31,2
303,31/10/2006 3:00,31/10/2006,2006,10,31,3
303,31/10/2006 4:00,31/10/2006,2006,10,31,4
303,31/10/2006 5:00,31/10/2006,2006,10,31,5
303,31/10/2006 6:00,31/10/2006,2006,10,31,6
303,31/10/2006 7:00,31/10/2006,2006,10,31,7
303,31/10/2006 8:00,31/10/2006,2006,10,31,8
303,31/10/2006 9:00,31/10/2006,2006,10,31,9
303,31/10/2006 10:00,31/10/2006,2006,10,31,10
303,31/10/2006 11:00,31/10/2006,2006,10,31,11
303,31/10/2006 12:00,31/10/2006,2006,10,31,12
303,31/10/2006 13:00,31/10/2006,2006,10,31,13
303,31/10/2006 14:00,31/10/2006,2006,10,31,14
303,31/10/2006 15:00,31/10/2006,2006,10,31,15
303,31/10/2006 16:00,31/10/2006,2006,10,31,16
303,31/10/2006 17:00,31/10/2006,2006,10,31,17
303,31/10/2006 18:00,31/10/2006,2006,10,31,18
303,31/10/2006 19:00,31/10/2006,2006,10,31,19
303,31/10/2006 20:00,31/10/2006,2006,10,31,20
303,31/10/2006 21:00,31/10/2006,2006,10,31,21
303,31/10/2006 22:00,31/10/2006,2006,10,31,22
303,31/10/2006 23:00,31/10/2006,2006,10,31,23
303,01/11/2006 0:00,01/11/2006,2006,11,1,0
303,01/11/2006 1:00,01/11/2006,2006,11,1,1
303,01/11/2006 2:00,01/11/2006,2006,11,1,2
303,01/11/2006 3:00,01/11/2006,2006,11,1,3
303,01/11/2006 4:00,01/11/2006,2006,11,1,4
303,01/11/2006 5:00,01/11/2006,2006,11,1,5
303,01/11/2006 6:00,01/11/2006,2006,11,1,6
303,01/11/2006 7:00,01/11/2006,2006,11,1,7
303,01/11/2006 8:00,01/11/2006,2006,11,1,8
303,01/11/2006 9:00,01/11/2006,2006,11,1,9
303,01/11/2006 10:00,01/11/2006,2006,11,1,10
303,01/11/2006 11:00,01/11/2006,2006,11,1,11
303,01/11/2006 12:00,01/11/2006,2006,11,1,12
303,01/11/2006 13:00,01/11/2006,2006,11,1,13
303,01/11/2006 14:00,01/11/2006,2006,11,1,14
303,01/11/2006 15:00,01/11/2006,2006,11,1,15
303,01/11/2006 16:00,01/11/2006,2006,11,1,16
303,01/11/2006 17:00,01/11/2006,2006,11,1,17
303,01/11/2006 18:00,01/11/2006,2006,11,1,18
303,01/11/2006 19:00,01/11/2006,2006,11,1,19
303,01/11/2006 20:00,01/11/2006,2006,11,1,20
303,01/11/2006 21:00,01/11/2006,2006,11,1,21
303,01/11/2006 22:00,01/11/2006,2006,11,1,22
303,01/11/2006 23:00,01/11/2006,2006,11,1,23
303,02/11/2006 0:00,02/11/2006,2006,11,2,0
303,02/11/2006 1:00,02/11/2006,2006,11,2,1
303,02/11/2006 2:00,02/11/2006,2006,11,2,2
303,02/11/2006 3:00,02/11/2006,2006,11,2,3
303,02/11/2006 4:00,02/11/2006,2006,11,2,4
303,02/11/2006 5:00,02/11/2006,2006,11,2,5
303,02/11/2006 6:00,02/11/2006,2006,11,2,6
303,02/11/2006 7:00,02/11/2006,2006,11,2,7
303,02/11/2006 8:00,02/11/2006,2006,11,2,8
303,02/11/2006 9:00,02/11/2006,2006,11,2,9
303,02/11/2006 10:00,02/11/2006,2006,11,2,10
303,02/11/2006 11:00,02/11/2006,2006,11,2,11
303,02/11/2006 12:00,02/11/2006,2006,11,2,12
303,02/11/2006 13:00,02/11/2006,2006,11,2,13
303,02/11/2006 14:00,02/11/2006,2006,11,2,14
303,02/11/2006 15:00,02/11/2006,2006,11,2,15
303,02/11/2006 16:00,02/11/2006,2006,11,2,16
303,02/11/2006 17:00,02/11/2006,2006,11,2,17
303,02/11/2006 18:00,02/11/2006,2006,11,2,18
303,02/11/2006 19:00,02/11/2006,2006,11,2,19
303,02/11/2006 20:00,02/11/2006,2006,11,2,20
303,02/11/2006 21:00,02/11/2006,2006,11,2,21
303,02/11/2006 22:00,02/11/2006,2006,11,2,22
303,02/11/2006 23:00,02/11/2006,2006,11,2,23
303,03/11/2006 0:00,03/11/2006,2006,11,3,0
303,03/11/2006 1:00,03/11/2006,2006,11,3,1
303,03/11/2006 2:00,03/11/2006,2006,11,3,2
303,03/11/2006 3:00,03/11/2006,2006,11,3,3
303,03/11/2006 4:00,03/11/2006,2006,11,3,4
303,03/11/2006 5:00,03/11/2006,2006,11,3,5
303,03/11/2006 6:00,03/11/2006,2006,11,3,6
303,03/11/2006 7:00,03/11/2006,2006,11,3,7
303,03/11/2006 8:00,03/11/2006,2006,11,3,8
303,03/11/2006 9:00,03/11/2006,2006,11,3,9
303,03/11/2006 10:00,03/11/2006,2006,11,3,10
303,03/11/2006 11:00,03/11/2006,2006,11,3,11
303,03/11/2006 12:00,03/11/2006,2006,11,3,12
303,03/11/2006 13:00,03/11/2006,2006,11,3,13
303,03/11/2006 14:00,03/11/2006,2006,11,3,14
303,03/11/2006 15:00,03/11/2006,2006,11,3,15
303,03/11/2006 16:00,03/11/2006,2006,11,3,16
303,03/11/2006 17:00,03/11/2006,2006,11,3,17
303,03/11/2006 18:00,03/11/2006,2006,11,3,18
303,03/11/2006 19:00,03/11/2006,2006,11,3,19
303,03/11/2006 20:00,03/11/2006,2006,11,3,20
303,03/11/2006 21:00,03/11/2006,2006,11,3,21
303,03/11/2006 22:00,03/11/2006,2006,11,3,22
303,03/11/2006 23:00,03/11/2006,2006,11,3,23
303,04/11/2006 0:00,04/11/2006,2006,11,4,0
303,04/11/2006 1:00,04/11/2006,2006,11,4,1
303,04/11/2006 2:00,04/11/2006,2006,11,4,2
303,04/11/2006 3:00,04/11/2006,2006,11,4,3
303,04/11/2006 4:00,04/11/2006,2006,11,4,4
304,09/08/2007 0:00,09/08/2007,2007,8,9,0
304,09/08/2007 1:00,09/08/2007,2007,8,9,1
304,09/08/2007 2:00,09/08/2007,2007,8,9,2
304,09/08/2007 3:00,09/08/2007,2007,8,9,3
304,09/08/2007 4:00,09/08/2007,2007,8,9,4
304,09/08/2007 5:00,09/08/2007,2007,8,9,5
304,09/08/2007 6:00,09/08/2007,2007,8,9,6
304,09/08/2007 7:00,09/08/2007,2007,8,9,7
304,09/08/2007 8:00,09/08/2007,2007,8,9,8
304,09/08/2007 9:00,09/08/2007,2007,8,9,9
304,09/08/2007 10:00,09/08/2007,2007,8,9,10
304,09/08/2007 11:00,09/08/2007,2007,8,9,11
304,09/08/2007 12:00,09/08/2007,2007,8,9,12
304,09/08/2007 13:00,09/08/2007,2007,8,9,13
304,09/08/2007 14:00,09/08/2007,2007,8,9,14
304,09/08/2007 15:00,09/08/2007,2007,8,9,15
304,09/08/2007 16:00,09/08/2007,2007,8,9,16
304,09/08/2007 17:00,09/08/2007,2007,8,9,17
304,09/08/2007 18:00,09/08/2007,2007,8,9,18
304,09/08/2007 19:00,09/08/2007,2007,8,9,19
304,09/08/2007 20:00,09/08/2007,2007,8,9,20
304,09/08/2007 21:00,09/08/2007,2007,8,9,21
304,09/08/2007 22:00,09/08/2007,2007,8,9,22
304,09/08/2007 23:00,09/08/2007,2007,8,9,23
304,10/08/2007 0:00,10/08/2007,2007,8,10,0
304,10/08/2007 1:00,10/08/2007,2007,8,10,1
304,10/08/2007 2:00,10/08/2007,2007,8,10,2
304,10/08/2007 3:00,10/08/2007,2007,8,10,3
304,10/08/2007 4:00,10/08/2007,2007,8,10,4
304,10/08/2007 5:00,10/08/2007,2007,8,10,5
304,10/08/2007 6:00,10/08/2007,2007,8,10,6
304,10/08/2007 7:00,10/08/2007,2007,8,10,7
304,10/08/2007 8:00,10/08/2007,2007,8,10,8
304,10/08/2007 9:00,10/08/2007,2007,8,10,9
304,10/08/2007 10:00,10/08/2007,2007,8,10,10
304,10/08/2007 11:00,10/08/2007,2007,8,10,11
304,10/08/2007 12:00,10/08/2007,2007,8,10,12
304,10/08/2007 13:00,10/08/2007,2007,8,10,13
304,10/08/2007 14:00,10/08/2007,2007,8,10,14
304,10/08/2007 15:00,10/08/2007,2007,8,10,15
304,10/08/2007 16:00,10/08/2007,2007,8,10,16
304,10/08/2007 17:00,10/08/2007,2007,8,10,17
304,10/08/2007 18:00,10/08/2007,2007,8,10,18
304,10/08/2007 19:00,10/08/2007,2007,8,10,19
304,10/08/2007 20:00,10/08/2007,2007,8,10,20
304,10/08/2007 21:00,10/08/2007,2007,8,10,21
304,10/08/2007 22:00,10/08/2007,2007,8,10,22
304,10/08/2007 23:00,10/08/2007,2007,8,10,23
304,11/08/2007 0:00,11/08/2007,2007,8,11,0
304,11/08/2007 1:00,11/08/2007,2007,8,11,1
304,11/08/2007 2:00,11/08/2007,2007,8,11,2
304,11/08/2007 3:00,11/08/2007,2007,8,11,3
304,11/08/2007 4:00,11/08/2007,2007,8,11,4
304,11/08/2007 5:00,11/08/2007,2007,8,11,5
304,11/08/2007 6:00,11/08/2007,2007,8,11,6
304,11/08/2007 7:00,11/08/2007,2007,8,11,7
304,11/08/2007 8:00,11/08/2007,2007,8,11,8
304,11/08/2007 9:00,11/08/2007,2007,8,11,9
304,11/08/2007 10:00,11/08/2007,2007,8,11,10
304,11/08/2007 11:00,11/08/2007,2007,8,11,11
304,11/08/2007 12:00,11/08/2007,2007,8,11,12
304,11/08/2007 13:00,11/08/2007,2007,8,11,13
304,11/08/2007 14:00,11/08/2007,2007,8,11,14
304,11/08/2007 15:00,11/08/2007,2007,8,11,15
304,11/08/2007 16:00,11/08/2007,2007,8,11,16
304,11/08/2007 17:00,11/08/2007,2007,8,11,17
304,11/08/2007 18:00,11/08/2007,2007,8,11,18
304,11/08/2007 19:00,11/08/2007,2007,8,11,19
304,11/08/2007 20:00,11/08/2007,2007,8,11,20
304,11/08/2007 21:00,11/08/2007,2007,8,11,21
304,11/08/2007 22:00,11/08/2007,2007,8,11,22
304,11/08/2007 23:00,11/08/2007,2007,8,11,23
304,12/08/2007 0:00,12/08/2007,2007,8,12,0
304,12/08/2007 1:00,12/08/2007,2007,8,12,1
304,12/08/2007 2:00,12/08/2007,2007,8,12,2
304,12/08/2007 3:00,12/08/2007,2007,8,12,3
304,12/08/2007 4:00,12/08/2007,2007,8,12,4
304,12/08/2007 5:00,12/08/2007,2007,8,12,5
304,12/08/2007 6:00,12/08/2007,2007,8,12,6
304,12/08/2007 7:00,12/08/2007,2007,8,12,7
304,12/08/2007 8:00,12/08/2007,2007,8,12,8
304,12/08/2007 9:00,12/08/2007,2007,8,12,9
304,12/08/2007 10:00,12/08/2007,2007,8,12,10
304,12/08/2007 11:00,12/08/2007,2007,8,12,11
304,12/08/2007 12:00,12/08/2007,2007,8,12,12
304,12/08/2007 13:00,12/08/2007,2007,8,12,13
304,12/08/2007 14:00,12/08/2007,2007,8,12,14
304,12/08/2007 15:00,12/08/2007,2007,8,12,15
304,12/08/2007 16:00,12/08/2007,2007,8,12,16
304,12/08/2007 17:00,12/08/2007,2007,8,12,17
304,12/08/2007 18:00,12/08/2007,2007,8,12,18
304,12/08/2007 19:00,12/08/2007,2007,8,12,19
304,12/08/2007 20:00,12/08/2007,2007,8,12,20
304,12/08/2007 21:00,12/08/2007,2007,8,12,21
304,12/08/2007 22:00,12/08/2007,2007,8,12,22
304,12/08/2007 23:00,12/08/2007,2007,8,12,23
304,13/08/2007 0:00,13/08/2007,2007,8,13,0
304,13/08/2007 1:00,13/08/2007,2007,8,13,1
304,13/08/2007 2:00,13/08/2007,2007,8,13,2
304,13/08/2007 3:00,13/08/2007,2007,8,13,3
304,13/08/2007 4:00,13/08/2007,2007,8,13,4
305,27/10/2006 0:00,27/10/2006,2006,10,27,0
305,27/10/2006 1:00,27/10/2006,2006,10,27,1
