wsid,wsnm,inme,mdct
178,SÃO GONÇALO,A333,06/11/2007 0:00
178,SÃO GONÇALO,A333,06/11/2007 1:00
178,SÃO GONÇALO,A333,06/11/2007 2:00
178,SÃO GONÇALO,A333,06/11/2007 3:00
178,SÃO GONÇALO,A333,06/11/2007 4:00
178,SÃO GONÇALO,A333,06/11/2007 5:00
178,SÃO GONÇALO,A333,06/11/2007 6:00
178,SÃO GONÇALO,A333,06/11/2007 7:00
178,SÃO GONÇALO,A333,06/11/2007 8:00
178,SÃO GONÇALO,A333,06/11/2007 9:00
178,SÃO GONÇALO,A333,06/11/2007 10:00
178,SÃO GONÇALO,A333,06/11/2007 11:00
178,SÃO GONÇALO,A333,06/11/2007 12:00
178,SÃO GONÇALO,A333,06/11/2007 13:00
178,SÃO GONÇALO,A333,06/11/2007 14:00
178,SÃO GONÇALO,A333,06/11/2007 15:00
178,SÃO GONÇALO,A333,06/11/2007 16:00
178,SÃO GONÇALO,A333,06/11/2007 17:00
178,SÃO GONÇALO,A333,06/11/2007 18:00
178,SÃO GONÇALO,A333,06/11/2007 19:00
178,SÃO GONÇALO,A333,06/11/2007 20:00
178,SÃO GONÇALO,A333,06/11/2007 21:00
178,SÃO GONÇALO,A333,06/11/2007 22:00
178,SÃO GONÇALO,A333,06/11/2007 23:00
178,SÃO GONÇALO,A333,07/11/2007 0:00
178,SÃO GONÇALO,A333,07/11/2007 1:00
178,SÃO GONÇALO,A333,07/11/2007 2:00
178,SÃO GONÇALO,A333,07/11/2007 3:00
178,SÃO GONÇALO,A333,07/11/2007 4:00
178,SÃO GONÇALO,A333,07/11/2007 5:00
178,SÃO GONÇALO,A333,07/11/2007 6:00
178,SÃO GONÇALO,A333,07/11/2007 7:00
178,SÃO GONÇALO,A333,07/11/2007 8:00
178,SÃO GONÇALO,A333,07/11/2007 9:00
178,SÃO GONÇALO,A333,07/11/2007 10:00
178,SÃO GONÇALO,A333,07/11/2007 11:00
178,SÃO GONÇALO,A333,07/11/2007 12:00
178,SÃO GONÇALO,A333,07/11/2007 13:00
178,SÃO GONÇALO,A333,07/11/2007 14:00
178,SÃO GONÇALO,A333,07/11/2007 15:00
178,SÃO GONÇALO,A333,07/11/2007 16:00
178,SÃO GONÇALO,A333,07/11/2007 17:00
178,SÃO GONÇALO,A333,07/11/2007 18:00
178,SÃO GONÇALO,A333,07/11/2007 19:00
178,SÃO GONÇALO,A333,07/11/2007 20:00
178,SÃO GONÇALO,A333,07/11/2007 21:00
178,SÃO GONÇALO,A333,07/11/2007 22:00
178,SÃO GONÇALO,A333,07/11/2007 23:00
178,SÃO GONÇALO,A333,08/11/2007 0:00
178,SÃO GONÇALO,A333,08/11/2007 1:00
178,SÃO GONÇALO,A333,08/11/2007 2:00
178,SÃO GONÇALO,A333,08/11/2007 3:00
178,SÃO GONÇALO,A333,08/11/2007 4:00
178,SÃO GONÇALO,A333,08/11/2007 5:00
178,SÃO GONÇALO,A333,08/11/2007 6:00
178,SÃO GONÇALO,A333,08/11/2007 7:00
178,SÃO GONÇALO,A333,08/11/2007 8:00
178,SÃO GONÇALO,A333,08/11/2007 9:00
178,SÃO GONÇALO,A333,08/11/2007 10:00
178,SÃO GONÇALO,A333,08/11/2007 11:00
178,SÃO GONÇALO,A333,08/11/2007 12:00
178,SÃO GONÇALO,A333,08/11/2007 13:00
178,SÃO GONÇALO,A333,08/11/2007 14:00
178,SÃO GONÇALO,A333,08/11/2007 15:00
178,SÃO GONÇALO,A333,08/11/2007 16:00
178,SÃO GONÇALO,A333,08/11/2007 17:00
178,SÃO GONÇALO,A333,08/11/2007 18:00
178,SÃO GONÇALO,A333,08/11/2007 19:00
178,SÃO GONÇALO,A333,08/11/2007 20:00
178,SÃO GONÇALO,A333,08/11/2007 21:00
178,SÃO GONÇALO,A333,08/11/2007 22:00
178,SÃO GONÇALO,A333,08/11/2007 23:00
178,SÃO GONÇALO,A333,09/11/2007 0:00
178,SÃO GONÇALO,A333,09/11/2007 1:00
178,SÃO GONÇALO,A333,09/11/2007 2:00
178,SÃO GONÇALO,A333,09/11/2007 3:00
178,SÃO GONÇALO,A333,09/11/2007 4:00
178,SÃO GONÇALO,A333,09/11/2007 5:00
178,SÃO GONÇALO,A333,09/11/2007 6:00
178,SÃO GONÇALO,A333,09/11/2007 7:00
178,SÃO GONÇALO,A333,09/11/2007 8:00
178,SÃO GONÇALO,A333,09/11/2007 9:00
178,SÃO GONÇALO,A333,09/11/2007 10:00
178,SÃO GONÇALO,A333,09/11/2007 11:00
178,SÃO GONÇALO,A333,09/11/2007 12:00
178,SÃO GONÇALO,A333,09/11/2007 13:00
178,SÃO GONÇALO,A333,09/11/2007 14:00
178,SÃO GONÇALO,A333,09/11/2007 15:00
178,SÃO GONÇALO,A333,09/11/2007 16:00
178,SÃO GONÇALO,A333,09/11/2007 17:00
178,SÃO GONÇALO,A333,09/11/2007 18:00
178,SÃO GONÇALO,A333,09/11/2007 19:00
178,SÃO GONÇALO,A333,09/11/2007 20:00
178,SÃO GONÇALO,A333,09/11/2007 21:00
178,SÃO GONÇALO,A333,09/11/2007 22:00
178,SÃO GONÇALO,A333,09/11/2007 23:00
178,SÃO GONÇALO,A333,10/11/2007 0:00
178,SÃO GONÇALO,A333,10/11/2007 1:00
178,SÃO GONÇALO,A333,10/11/2007 2:00
178,SÃO GONÇALO,A333,10/11/2007 3:00
303,VITÓRIA,A612,31/10/2006 0:00
303,VITÓRIA,A612,31/10/2006 1:00
303,VITÓRIA,A612,31/10/2006 2:00
303,VITÓRIA,A612,31/10/2006 3:00
303,VITÓRIA,A612,31/10/2006 4:00
303,VITÓRIA,A612,31/10/2006 5:00
303,VITÓRIA,A612,31/10/2006 6:00
303,VITÓRIA,A612,31/10/2006 7:00
303,VITÓRIA,A612,31/10/2006 8:00
303,VITÓRIA,A612,31/10/2006 9:00
303,VITÓRIA,A612,31/10/2006 10:00
303,VITÓRIA,A612,31/10/2006 11:00
303,VITÓRIA,A612,31/10/2006 12:00
303,VITÓRIA,A612,31/10/2006 13:00
303,VITÓRIA,A612,31/10/2006 14:00
303,VITÓRIA,A612,31/10/2006 15:00
303,VITÓRIA,A612,31/10/2006 16:00
303,VITÓRIA,A612,31/10/2006 17:00
303,VITÓRIA,A612,31/10/2006 18:00
303,VITÓRIA,A612,31/10/2006 19:00
303,VITÓRIA,A612,31/10/2006 20:00
303,VITÓRIA,A612,31/10/2006 21:00
303,VITÓRIA,A612,31/10/2006 22:00
303,VITÓRIA,A612,31/10/2006 23:00
303,VITÓRIA,A612,01/11/2006 0:00
303,VITÓRIA,A612,01/11/2006 1:00
303,VITÓRIA,A612,01/11/2006 2:00
303,VITÓRIA,A612,01/11/2006 3:00
303,VITÓRIA,A612,01/11/2006 4:00
303,VITÓRIA,A612,01/11/2006 5:00
303,VITÓRIA,A612,01/11/2006 6:00
303,VITÓRIA,A612,01/11/2006 7:00
303,VITÓRIA,A612,01/11/2006 8:00
303,VITÓRIA,A612,01/11/2006 9:00
303,VITÓRIA,A612,01/11/2006 10:00
303,VITÓRIA,A612,01/11/2006 11:00
303,VITÓRIA,A612,01/11/2006 12:00
303,VITÓRIA,A612,01/11/2006 13:00
303,VITÓRIA,A612,01/11/2006 14:00
303,VITÓRIA,A612,01/11/2006 15:00
303,VITÓRIA,A612,01/11/2006 16:00
303,VITÓRIA,A612,01/11/2006 17:00
303,VITÓRIA,A612,01/11/2006 18:00
303,VITÓRIA,A612,01/11/2006 19:00
303,VITÓRIA,A612,01/11/2006 20:00
303,VITÓRIA,A612,01/11/2006 21:00
303,VITÓRIA,A612,01/11/2006 22:00
303,VITÓRIA,A612,01/11/2006 23:00
303,VITÓRIA,A612,02/11/2006 0:00
303,VITÓRIA,A612,02/11/2006 1:00
303,VITÓRIA,A612,02/11/2006 2:00
303,VITÓRIA,A612,02/11/2006 3:00
303,VITÓRIA,A612,02/11/2006 4:00
303,VITÓRIA,A612,02/11/2006 5:00
303,VITÓRIA,A612,02/11/2006 6:00
303,VITÓRIA,A612,02/11/2006 7:00
303,VITÓRIA,A612,02/11/2006 8:00
303,VITÓRIA,A612,02/11/2006 9:00
303,VITÓRIA,A612,02/11/2006 10:00
303,VITÓRIA,A612,02/11/2006 11:00
303,VITÓRIA,A612,02/11/2006 12:00
303,VITÓRIA,A612,02/11/2006 13:00
303,VITÓRIA,A612,02/11/2006 14:00
303,VITÓRIA,A612,02/11/2006 15:00
303,VITÓRIA,A612,02/11/2006 16:00
303,VITÓRIA,A612,02/11/2006 17:00
303,VITÓRIA,A612,02/11/2006 18:00
303,VITÓRIA,A612,02/11/2006 19:00
303,VITÓRIA,A612,02/11/2006 20:00
303,VITÓRIA,A612,02/11/2006 21:00
303,VITÓRIA,A612,02/11/2006 22:00
303,VITÓRIA,A612,02/11/2006 23:00
303,VITÓRIA,A612,03/11/2006 0:00
303,VITÓRIA,A612,03/11/2006 1:00
303,VITÓRIA,A612,03/11/2006 2:00
303,VITÓRIA,A612,03/11/2006 3:00
303,VITÓRIA,A612,03/11/2006 4:00
303,VITÓRIA,A612,03/11/2006 5:00
303,VITÓRIA,A612,03/11/2006 6:00
303,VITÓRIA,A612,03/11/2006 7:00
303,VITÓRIA,A612,03/11/2006 8:00
303,VITÓRIA,A612,03/11/2006 9:00
303,VITÓRIA,A612,03/11/2006 10:00
303,VITÓRIA,A612,03/11/2006 11:00
303,VITÓRIA,A612,03/11/2006 12:00
303,VITÓRIA,A612,03/11/2006 13:00
303,VITÓRIA,A612,03/11/2006 14:00
303,VITÓRIA,A612,03/11/2006 15:00
303,VITÓRIA,A612,03/11/2006 16:00
303,VITÓRIA,A612,03/11/2006 17:00
303,VITÓRIA,A612,03/11/2006 18:00
303,VITÓRIA,A612,03/11/2006 19:00
303,VITÓRIA,A612,03/11/2006 20:00
303,VITÓRIA,A612,03/11/2006 21:00
303,VITÓRIA,A612,03/11/2006 22:00
303,VITÓRIA,A612,03/11/2006 23:00
303,VITÓRIA,A612,04/11/2006 0:00
303,VITÓRIA,A612,04/11/2006 1:00
303,VITÓRIA,A612,04/11/2006 2:00
303,VITÓRIA,A612,04/11/2006 3:00
303,VITÓRIA,A612,04/11/2006 4:00
304,SANTA TERESA,A613,09/08/2007 0:00
304,SANTA TERESA,A613,09/08/2007 1:00
304,SANTA TERESA,A613,09/08/2007 2:00
304,SANTA TERESA,A613,09/08/2007 3:00
304,SANTA TERESA,A613,09/08/2007 4:00
304,SANTA TERESA,A613,09/08/2007 5:00
304,SANTA TERESA,A613,09/08/2007 6:00
304,SANTA TERESA,A613,09/08/2007 7:00
304,SANTA TERESA,A613,09/08/2007 8:00
304,SANTA TERESA,A613,09/08/2007 9:00
304,SANTA TERESA,A613,09/08/2007 10:00
304,SANTA TERESA,A613,09/08/2007 11:00
304,SANTA TERESA,A613,09/08/2007 12:00
304,SANTA TERESA,A613,09/08/2007 13:00
304,SANTA TERESA,A613,09/08/2007 14:00
304,SANTA TERESA,A613,09/08/2007 15:00
304,SANTA TERESA,A613,09/08/2007 16:00
304,SANTA TERESA,A613,09/08/2007 17:00
304,SANTA TERESA,A613,09/08/2007 18:00
304,SANTA TERESA,A613,09/08/2007 19:00
304,SANTA TERESA,A613,09/08/2007 20:00
304,SANTA TERESA,A613,09/08/2007 21:00
304,SANTA TERESA,A613,09/08/2007 22:00
304,SANTA TERESA,A613,09/08/2007 23:00
304,SANTA TERESA,A613,10/08/2007 0:00
304,SANTA TERESA,A613,10/08/2007 1:00
304,SANTA TERESA,A613,10/08/2007 2:00
304,SANTA TERESA,A613,10/08/2007 3:00
304,SANTA TERESA,A613,10/08/2007 4:00
304,SANTA TERESA,A613,10/08/2007 5:00
304,SANTA TERESA,A613,10/08/2007 6:00
304,SANTA TERESA,A613,10/08/2007 7:00
304,SANTA TERESA,A613,10/08/2007 8:00
304,SANTA TERESA,A613,10/08/2007 9:00
304,SANTA TERESA,A613,10/08/2007 10:00
304,SANTA TERESA,A613,10/08/2007 11:00
304,SANTA TERESA,A613,10/08/2007 12:00
304,SANTA TERESA,A613,10/08/2007 13:00
304,SANTA TERESA,A613,10/08/2007 14:00
304,SANTA TERESA,A613,10/08/2007 15:00
304,SANTA TERESA,A613,10/08/2007 16:00
304,SANTA TERESA,A613,10/08/2007 17:00
304,SANTA TERESA,A613,10/08/2007 18:00
304,SANTA TERESA,A613,10/08/2007 19:00
304,SANTA TERESA,A613,10/08/2007 20:00
304,SANTA TERESA,A613,10/08/2007 21:00
304,SANTA TERESA,A613,10/08/2007 22:00
304,SANTA TERESA,A613,10/08/2007 23:00
304,SANTA TERESA,A613,11/08/2007 0:00
304,SANTA TERESA,A613,11/08/2007 1:00
304,SANTA TERESA,A613,11/08/2007 2:00
304,SANTA TERESA,A613,11/08/2007 3:00
304,SANTA TERESA,A613,11/08/2007 4:00
304,SANTA TERESA,A613,11/08/2007 5:00
304,SANTA TERESA,A613,11/08/2007 6:00
304,SANTA TERESA,A613,11/08/2007 7:00
304,SANTA TERESA,A613,11/08/2007 8:00
304,SANTA TERESA,A613,11/08/2007 9:00
304,SANTA TERESA,A613,11/08/2007 10:00
304,SANTA TERESA,A613,11/08/2007 11:00
304,SANTA TERESA,A613,11/08/2007 12:00
304,SANTA TERESA,A613,11/08/2007 13:00
304,SANTA TERESA,A613,11/08/2007 14:00
304,SANTA TERESA,A613,11/08/2007 15:00
304,SANTA TERESA,A613,11/08/2007 16:00
304,SANTA TERESA,A613,11/08/2007 17:00
304,SANTA TERESA,A613,11/08/2007 18:00
304,SANTA TERESA,A613,11/08/2007 19:00
304,SANTA TERESA,A613,11/08/2007 20:00
304,SANTA TERESA,A613,11/08/2007 21:00
304,SANTA TERESA,A613,11/08/2007 22:00
304,SANTA TERESA,A613,11/08/2007 23:00
304,SANTA TERESA,A613,12/08/2007 0:00
304,SANTA TERESA,A613,12/08/2007 1:00
304,SANTA TERESA,A613,12/08/2007 2:00
304,SANTA TERESA,A613,12/08/2007 3:00
304,SANTA TERESA,A613,12/08/2007 4:00
304,SANTA TERESA,A613,12/08/2007 5:00
304,SANTA TERESA,A613,12/08/2007 6:00
304,SANTA TERESA,A613,12/08/2007 7:00
304,SANTA TERESA,A613,12/08/2007 8:00
304,SANTA TERESA,A613,12/08/2007 9:00
304,SANTA TERESA,A613,12/08/2007 10:00
304,SANTA TERESA,A613,12/08/2007 11:00
304,SANTA TERESA,A613,12/08/2007 12:00
304,SANTA TERESA,A613,12/08/2007 13:00
304,SANTA TERESA,A613,12/08/2007 14:00
304,SANTA TERESA,A613,12/08/2007 15:00
304,SANTA TERESA,A613,12/08/2007 16:00
304,SANTA TERESA,A613,12/08/2007 17:00
304,SANTA TERESA,A613,12/08/2007 18:00
304,SANTA TERESA,A613,12/08/2007 19:00
304,SANTA TERESA,A613,12/08/2007 20:00
304,SANTA TERESA,A613,12/08/2007 21:00
304,SANTA TERESA,A613,12/08/2007 22:00
304,SANTA TERESA,A613,12/08/2007 23:00
304,SANTA TERESA,A613,13/08/2007 0:00
304,SANTA TERESA,A613,13/08/2007 1:00
304,SANTA TERESA,A613,13/08/2007 2:00
304,SANTA TERESA,A613,13/08/2007 3:00
304,SANTA TERESA,A613,13/08/2007 4:00
305,LINHARES,A614,27/10/2006 0:00
305,LINHARES,A614,27/10/2006 1:00
305,LINHARES,A614,27/10/2006 2:00
