wsid,wsnm,inme,mdct
305,LINHARES,A614,27/10/2006 3:00
305,LINHARES,A614,27/10/2006 4:00
305,LINHARES,A614,27/10/2006 5:00
305,LINHARES,A614,27/10/2006 6:00
305,LINHARES,A614,27/10/2006 7:00
305,LINHARES,A614,27/10/2006 8:00
305,LINHARES,A614,27/10/2006 9:00
305,LINHARES,A614,27/10/2006 10:00
305,LINHARES,A614,27/10/2006 11:00
305,LINHARES,A614,27/10/2006 12:00
305,LINHARES,A614,27/10/2006 13:00
305,LINHARES,A614,27/10/2006 14:00
305,LINHARES,A614,27/10/2006 15:00
305,LINHARES,A614,27/10/2006 16:00
305,LINHARES,A614,27/10/2006 17:00
305,LINHARES,A614,27/10/2006 18:00
305,LINHARES,A614,27/10/2006 19:00
305,LINHARES,A614,27/10/2006 20:00
305,LINHARES,A614,27/10/2006 21:00
305,LINHARES,A614,27/10/2006 22:00
305,LINHARES,A614,27/10/2006 23:00
305,LINHARES,A614,28/10/2006 0:00
305,LINHARES,A614,28/10/2006 1:00
305,LINHARES,A614,28/10/2006 2:00
305,LINHARES,A614,28/10/2006 3:00
305,LINHARES,A614,28/10/2006 4:00
305,LINHARES,A614,28/10/2006 5:00
305,LINHARES,A614,28/10/2006 6:00
305,LINHARES,A614,28/10/2006 7:00
305,LINHARES,A614,28/10/2006 8:00
305,LINHARES,A614,28/10/2006 9:00
305,LINHARES,A614,28/10/2006 10:00
305,LINHARES,A614,28/10/2006 11:00
305,LINHARES,A614,28/10/2006 12:00
305,LINHARES,A614,28/10/2006 13:00
305,LINHARES,A614,28/10/2006 14:00
305,LINHARES,A614,28/10/2006 15:00
305,LINHARES,A614,28/10/2006 16:00
305,LINHARES,A614,28/10/2006 17:00
305,LINHARES,A614,28/10/2006 18:00
305,LINHARES,A614,28/10/2006 19:00
305,LINHARES,A614,28/10/2006 20:00
305,LINHARES,A614,28/10/2006 21:00
305,LINHARES,A614,28/10/2006 22:00
305,LINHARES,A614,28/10/2006 23:00
305,LINHARES,A614,29/10/2006 0:00
305,LINHARES,A614,29/10/2006 1:00
305,LINHARES,A614,29/10/2006 2:00
305,LINHARES,A614,29/10/2006 3:00
305,LINHARES,A614,29/10/2006 4:00
305,LINHARES,A614,29/10/2006 5:00
305,LINHARES,A614,29/10/2006 6:00
305,LINHARES,A614,29/10/2006 7:00
305,LINHARES,A614,29/10/2006 8:00
305,LINHARES,A614,29/10/2006 9:00
305,LINHARES,A614,29/10/2006 10:00
305,LINHARES,A614,29/10/2006 11:00
305,LINHARES,A614,29/10/2006 12:00
305,LINHARES,A614,29/10/2006 13:00
305,LINHARES,A614,29/10/2006 14:00
305,LINHARES,A614,29/10/2006 15:00
305,LINHARES,A614,29/10/2006 16:00
305,LINHARES,A614,29/10/2006 17:00
305,LINHARES,A614,29/10/2006 18:00
305,LINHARES,A614,29/10/2006 19:00
305,LINHARES,A614,29/10/2006 20:00
305,LINHARES,A614,29/10/2006 21:00
305,LINHARES,A614,29/10/2006 22:00
305,LINHARES,A614,29/10/2006 23:00
305,LINHARES,A614,30/10/2006 0:00
305,LINHARES,A614,30/10/2006 1:00
305,LINHARES,A614,30/10/2006 2:00
305,LINHARES,A614,30/10/2006 3:00
305,LINHARES,A614,30/10/2006 4:00
305,LINHARES,A614,30/10/2006 5:00
305,LINHARES,A614,30/10/2006 6:00
305,LINHARES,A614,30/10/2006 7:00
305,LINHARES,A614,30/10/2006 8:00
305,LINHARES,A614,30/10/2006 9:00
305,LINHARES,A614,30/10/2006 10:00
305,LINHARES,A614,30/10/2006 11:00
305,LINHARES,A614,30/10/2006 12:00
305,LINHARES,A614,30/10/2006 13:00
305,LINHARES,A614,30/10/2006 14:00
305,LINHARES,A614,30/10/2006 15:00
305,LINHARES,A614,30/10/2006 16:00
305,LINHARES,A614,30/10/2006 17:00
305,LINHARES,A614,30/10/2006 18:00
305,LINHARES,A614,30/10/2006 19:00
305,LINHARES,A614,30/10/2006 20:00
305,LINHARES,A614,30/10/2006 21:00
305,LINHARES,A614,30/10/2006 22:00
305,LINHARES,A614,30/10/2006 23:00
305,LINHARES,A614,31/10/2006 0:00
305,LINHARES,A614,31/10/2006 1:00
305,LINHARES,A614,31/10/2006 2:00
305,LINHARES,A614,31/10/2006 3:00
305,LINHARES,A614,31/10/2006 4:00
306,ALFREDO CHAVES,A615,03/11/2006 0:00
306,ALFREDO CHAVES,A615,03/11/2006 1:00
306,ALFREDO CHAVES,A615,03/11/2006 2:00
306,ALFREDO CHAVES,A615,03/11/2006 3:00
306,ALFREDO CHAVES,A615,03/11/2006 4:00
306,ALFREDO CHAVES,A615,03/11/2006 5:00
306,ALFREDO CHAVES,A615,03/11/2006 6:00
306,ALFREDO CHAVES,A615,03/11/2006 7:00
306,ALFREDO CHAVES,A615,03/11/2006 8:00
306,ALFREDO CHAVES,A615,03/11/2006 9:00
306,ALFREDO CHAVES,A615,03/11/2006 10:00
306,ALFREDO CHAVES,A615,03/11/2006 11:00
306,ALFREDO CHAVES,A615,03/11/2006 12:00
306,ALFREDO CHAVES,A615,03/11/2006 13:00
306,ALFREDO CHAVES,A615,03/11/2006 14:00
306,ALFREDO CHAVES,A615,03/11/2006 15:00
306,ALFREDO CHAVES,A615,03/11/2006 16:00
306,ALFREDO CHAVES,A615,03/11/2006 17:00
306,ALFREDO CHAVES,A615,03/11/2006 18:00
306,ALFREDO CHAVES,A615,03/11/2006 19:00
306,ALFREDO CHAVES,A615,03/11/2006 20:00
306,ALFREDO CHAVES,A615,03/11/2006 21:00
306,ALFREDO CHAVES,A615,03/11/2006 22:00
306,ALFREDO CHAVES,A615,03/11/2006 23:00
306,ALFREDO CHAVES,A615,04/11/2006 0:00
306,ALFREDO CHAVES,A615,04/11/2006 1:00
306,ALFREDO CHAVES,A615,04/11/2006 2:00
306,ALFREDO CHAVES,A615,04/11/2006 3:00
306,ALFREDO CHAVES,A615,04/11/2006 4:00
306,ALFREDO CHAVES,A615,04/11/2006 5:00
306,ALFREDO CHAVES,A615,04/11/2006 6:00
306,ALFREDO CHAVES,A615,04/11/2006 7:00
306,ALFREDO CHAVES,A615,04/11/2006 8:00
306,ALFREDO CHAVES,A615,04/11/2006 9:00
306,ALFREDO CHAVES,A615,04/11/2006 10:00
306,ALFREDO CHAVES,A615,04/11/2006 11:00
306,ALFREDO CHAVES,A615,04/11/2006 12:00
306,ALFREDO CHAVES,A615,04/11/2006 13:00
306,ALFREDO CHAVES,A615,04/11/2006 14:00
306,ALFREDO CHAVES,A615,04/11/2006 15:00
306,ALFREDO CHAVES,A615,04/11/2006 16:00
306,ALFREDO CHAVES,A615,04/11/2006 17:00
306,ALFREDO CHAVES,A615,04/11/2006 18:00
306,ALFREDO CHAVES,A615,04/11/2006 19:00
306,ALFREDO CHAVES,A615,04/11/2006 20:00
306,ALFREDO CHAVES,A615,04/11/2006 21:00
306,ALFREDO CHAVES,A615,04/11/2006 22:00
306,ALFREDO CHAVES,A615,04/11/2006 23:00
306,ALFREDO CHAVES,A615,05/11/2006 0:00
306,ALFREDO CHAVES,A615,05/11/2006 1:00
306,ALFREDO CHAVES,A615,05/11/2006 2:00
306,ALFREDO CHAVES,A615,05/11/2006 3:00
306,ALFREDO CHAVES,A615,05/11/2006 4:00
306,ALFREDO CHAVES,A615,05/11/2006 5:00
306,ALFREDO CHAVES,A615,05/11/2006 6:00
306,ALFREDO CHAVES,A615,05/11/2006 7:00
306,ALFREDO CHAVES,A615,05/11/2006 8:00
306,ALFREDO CHAVES,A615,05/11/2006 9:00
306,ALFREDO CHAVES,A615,05/11/2006 10:00
306,ALFREDO CHAVES,A615,05/11/2006 11:00
306,ALFREDO CHAVES,A615,05/11/2006 12:00
306,ALFREDO CHAVES,A615,05/11/2006 13:00
306,ALFREDO CHAVES,A615,05/11/2006 14:00
306,ALFREDO CHAVES,A615,05/11/2006 15:00
306,ALFREDO CHAVES,A615,05/11/2006 16:00
306,ALFREDO CHAVES,A615,05/11/2006 17:00
306,ALFREDO CHAVES,A615,05/11/2006 18:00
306,ALFREDO CHAVES,A615,05/11/2006 19:00
306,ALFREDO CHAVES,A615,05/11/2006 20:00
306,ALFREDO CHAVES,A615,05/11/2006 21:00
306,ALFREDO CHAVES,A615,05/11/2006 22:00
306,ALFREDO CHAVES,A615,05/11/2006 23:00
306,ALFREDO CHAVES,A615,06/11/2006 0:00
306,ALFREDO CHAVES,A615,06/11/2006 1:00
306,ALFREDO CHAVES,A615,06/11/2006 2:00
306,ALFREDO CHAVES,A615,06/11/2006 3:00
306,ALFREDO CHAVES,A615,06/11/2006 4:00
306,ALFREDO CHAVES,A615,06/11/2006 5:00
306,ALFREDO CHAVES,A615,06/11/2006 6:00
306,ALFREDO CHAVES,A615,06/11/2006 7:00
306,ALFREDO CHAVES,A615,06/11/2006 8:00
306,ALFREDO CHAVES,A615,06/11/2006 9:00
306,ALFREDO CHAVES,A615,06/11/2006 10:00
306,ALFREDO CHAVES,A615,06/11/2006 11:00
306,ALFREDO CHAVES,A615,06/11/2006 12:00
306,ALFREDO CHAVES,A615,06/11/2006 13:00
306,ALFREDO CHAVES,A615,06/11/2006 14:00
306,ALFREDO CHAVES,A615,06/11/2006 15:00
306,ALFREDO CHAVES,A615,06/11/2006 16:00
306,ALFREDO CHAVES,A615,06/11/2006 17:00
306,ALFREDO CHAVES,A615,06/11/2006 18:00
306,ALFREDO CHAVES,A615,06/11/2006 19:00
306,ALFREDO CHAVES,A615,06/11/2006 20:00
306,ALFREDO CHAVES,A615,06/11/2006 21:00
306,ALFREDO CHAVES,A615,06/11/2006 22:00
306,ALFREDO CHAVES,A615,06/11/2006 23:00
306,ALFREDO CHAVES,A615,07/11/2006 0:00
306,ALFREDO CHAVES,A615,07/11/2006 1:00
306,ALFREDO CHAVES,A615,07/11/2006 2:00
306,ALFREDO CHAVES,A615,07/11/2006 3:00
306,ALFREDO CHAVES,A615,07/11/2006 4:00
307,SÃO MATEUS,A616,25/10/2006 0:00
307,SÃO MATEUS,A616,25/10/2006 1:00
307,SÃO MATEUS,A616,25/10/2006 2:00
307,SÃO MATEUS,A616,25/10/2006 3:00
307,SÃO MATEUS,A616,25/10/2006 4:00
307,SÃO MATEUS,A616,25/10/2006 5:00
307,SÃO MATEUS,A616,25/10/2006 6:00
307,SÃO MATEUS,A616,25/10/2006 7:00
307,SÃO MATEUS,A616,25/10/2006 8:00
307,SÃO MATEUS,A616,25/10/2006 9:00
307,SÃO MATEUS,A616,25/10/2006 10:00
307,SÃO MATEUS,A616,25/10/2006 11:00
307,SÃO MATEUS,A616,25/10/2006 12:00
307,SÃO MATEUS,A616,25/10/2006 13:00
307,SÃO MATEUS,A616,25/10/2006 14:00
307,SÃO MATEUS,A616,25/10/2006 15:00
307,SÃO MATEUS,A616,25/10/2006 16:00
307,SÃO MATEUS,A616,25/10/2006 17:00
307,SÃO MATEUS,A616,25/10/2006 18:00
307,SÃO MATEUS,A616,25/10/2006 19:00
307,SÃO MATEUS,A616,25/10/2006 20:00
307,SÃO MATEUS,A616,25/10/2006 21:00
307,SÃO MATEUS,A616,25/10/2006 22:00
307,SÃO MATEUS,A616,25/10/2006 23:00
307,SÃO MATEUS,A616,26/10/2006 0:00
307,SÃO MATEUS,A616,26/10/2006 1:00
307,SÃO MATEUS,A616,26/10/2006 2:00
307,SÃO MATEUS,A616,26/10/2006 3:00
307,SÃO MATEUS,A616,26/10/2006 4:00
307,SÃO MATEUS,A616,26/10/2006 5:00
307,SÃO MATEUS,A616,26/10/2006 6:00
307,SÃO MATEUS,A616,26/10/2006 7:00
307,SÃO MATEUS,A616,26/10/2006 8:00
307,SÃO MATEUS,A616,26/10/2006 9:00
307,SÃO MATEUS,A616,26/10/2006 10:00
307,SÃO MATEUS,A616,26/10/2006 11:00
307,SÃO MATEUS,A616,26/10/2006 12:00
307,SÃO MATEUS,A616,26/10/2006 13:00
307,SÃO MATEUS,A616,26/10/2006 14:00
307,SÃO MATEUS,A616,26/10/2006 15:00
307,SÃO MATEUS,A616,26/10/2006 16:00
307,SÃO MATEUS,A616,26/10/2006 17:00
307,SÃO MATEUS,A616,26/10/2006 18:00
307,SÃO MATEUS,A616,26/10/2006 19:00
307,SÃO MATEUS,A616,26/10/2006 20:00
307,SÃO MATEUS,A616,26/10/2006 21:00
307,SÃO MATEUS,A616,26/10/2006 22:00
307,SÃO MATEUS,A616,26/10/2006 23:00
307,SÃO MATEUS,A616,27/10/2006 0:00
307,SÃO MATEUS,A616,27/10/2006 1:00
307,SÃO MATEUS,A616,27/10/2006 2:00
307,SÃO MATEUS,A616,27/10/2006 3:00
307,SÃO MATEUS,A616,27/10/2006 4:00
307,SÃO MATEUS,A616,27/10/2006 5:00
307,SÃO MATEUS,A616,27/10/2006 6:00
307,SÃO MATEUS,A616,27/10/2006 7:00
307,SÃO MATEUS,A616,27/10/2006 8:00
307,SÃO MATEUS,A616,27/10/2006 9:00
307,SÃO MATEUS,A616,27/10/2006 10:00
307,SÃO MATEUS,A616,27/10/2006 11:00
307,SÃO MATEUS,A616,27/10/2006 12:00
307,SÃO MATEUS,A616,27/10/2006 13:00
307,SÃO MATEUS,A616,27/10/2006 14:00
307,SÃO MATEUS,A616,27/10/2006 15:00
307,SÃO MATEUS,A616,27/10/2006 16:00
307,SÃO MATEUS,A616,27/10/2006 17:00
307,SÃO MATEUS,A616,27/10/2006 18:00
307,SÃO MATEUS,A616,27/10/2006 19:00
307,SÃO MATEUS,A616,27/10/2006 20:00
307,SÃO MATEUS,A616,27/10/2006 21:00
307,SÃO MATEUS,A616,27/10/2006 22:00
307,SÃO MATEUS,A616,27/10/2006 23:00
307,SÃO MATEUS,A616,28/10/2006 0:00
307,SÃO MATEUS,A616,28/10/2006 1:00
307,SÃO MATEUS,A616,28/10/2006 2:00
307,SÃO MATEUS,A616,28/10/2006 3:00
307,SÃO MATEUS,A616,28/10/2006 4:00
307,SÃO MATEUS,A616,28/10/2006 5:00
307,SÃO MATEUS,A616,28/10/2006 6:00
307,SÃO MATEUS,A616,28/10/2006 7:00
307,SÃO MATEUS,A616,28/10/2006 8:00
307,SÃO MATEUS,A616,28/10/2006 9:00
307,SÃO MATEUS,A616,28/10/2006 10:00
307,SÃO MATEUS,A616,28/10/2006 11:00
307,SÃO MATEUS,A616,28/10/2006 12:00
307,SÃO MATEUS,A616,28/10/2006 13:00
307,SÃO MATEUS,A616,28/10/2006 14:00
307,SÃO MATEUS,A616,28/10/2006 15:00
307,SÃO MATEUS,A616,28/10/2006 16:00
307,SÃO MATEUS,A616,28/10/2006 17:00
307,SÃO MATEUS,A616,28/10/2006 18:00
307,SÃO MATEUS,A616,28/10/2006 19:00
307,SÃO MATEUS,A616,28/10/2006 20:00
307,SÃO MATEUS,A616,28/10/2006 21:00
307,SÃO MATEUS,A616,28/10/2006 22:00
307,SÃO MATEUS,A616,28/10/2006 23:00
307,SÃO MATEUS,A616,29/10/2006 0:00
307,SÃO MATEUS,A616,29/10/2006 1:00
307,SÃO MATEUS,A616,29/10/2006 2:00
307,SÃO MATEUS,A616,29/10/2006 3:00
307,SÃO MATEUS,A616,29/10/2006 4:00
